filename, language, TypeScript, Vue, comment, blank, total
App.vue, Vue, 0, 76, 0, 11, 87
AuthService.ts, TypeScript, 15, 0, 0, 5, 20
CarRepository.ts, TypeScript, 26, 0, 0, 4, 30
LocationRepository.ts, TypeScript, 29, 0, 0, 4, 33
Repository.ts, TypeScript, 20, 0, 0, 6, 26
components\badLogin.vue, Vue, 0, 12, 0, 4, 16
components\carForm.vue, Vue, 0, 34, 0, 6, 40
components\itemDetails.vue, Vue, 0, 17, 0, 4, 21
components\itemList.vue, Vue, 0, 52, 2, 10, 64
components\locationForm.vue, Vue, 0, 36, 0, 6, 42
components\userForm.vue, Vue, 0, 50, 0, 8, 58
main.ts, TypeScript, 12, 0, 0, 4, 16
models\Car.ts, TypeScript, 8, 0, 0, 2, 10
models\Location.ts, TypeScript, 8, 0, 0, 2, 10
models\LoginReq.ts, TypeScript, 8, 0, 0, 2, 10
models\RegisterReq.ts, TypeScript, 20, 0, 0, 2, 22
models\User.ts, TypeScript, 27, 0, 0, 3, 30
router.ts, TypeScript, 53, 0, 1, 7, 61
shims-tsx.d.ts, TypeScript, 10, 0, 2, 2, 14
shims-vue.d.ts, TypeScript, 4, 0, 0, 1, 5
userService.ts, TypeScript, 30, 0, 0, 7, 37
views\carsScreen.vue, Vue, 0, 57, 2, 9, 68
views\crud.vue, Vue, 0, 59, 2, 9, 70
views\home.vue, Vue, 0, 19, 0, 3, 22
views\locationsScreen.vue, Vue, 0, 59, 2, 9, 70
views\login.vue, Vue, 0, 62, 0, 8, 70
views\register.vue, Vue, 0, 65, 0, 10, 75
Total, -, 270, 598, 11, 148, 1027